"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","19.11.2021 10:00 - 19.11.2021 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9264","n/e","6938","1086","n/e","n/e","n/e","n/e","6565"
"Sweden (SE)","19.11.2021 11:00 - 19.11.2021 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8996","n/e","6936","1071","n/e","n/e","n/e","n/e","6710"
"Sweden (SE)","19.11.2021 12:00 - 19.11.2021 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8620","n/e","6938","1075","n/e","n/e","n/e","n/e","6722"
"Sweden (SE)","19.11.2021 13:00 - 19.11.2021 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8390","n/e","6938","1050","n/e","n/e","n/e","n/e","6858"
"Sweden (SE)","19.11.2021 14:00 - 19.11.2021 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8098","n/e","6938","1028","n/e","n/e","n/e","n/e","7136"
"Sweden (SE)","19.11.2021 15:00 - 19.11.2021 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8049","n/e","6937","1022","n/e","n/e","n/e","n/e","7309"
"Sweden (SE)","19.11.2021 16:00 - 19.11.2021 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8050","n/e","6938","1004","n/e","n/e","n/e","n/e","7669"
"Sweden (SE)","19.11.2021 17:00 - 19.11.2021 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7926","n/e","6937","1005","n/e","n/e","n/e","n/e","7933"
"Sweden (SE)","19.11.2021 18:00 - 19.11.2021 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7261","n/e","6936","988","n/e","n/e","n/e","n/e","8297"
"Sweden (SE)","19.11.2021 19:00 - 19.11.2021 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7047","n/e","6937","933","n/e","n/e","n/e","n/e","8655"
"Sweden (SE)","19.11.2021 20:00 - 19.11.2021 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6645","n/e","6938","914","n/e","n/e","n/e","n/e","8977"
"Sweden (SE)","19.11.2021 21:00 - 19.11.2021 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6206","n/e","6939","894","n/e","n/e","n/e","n/e","9366"
"Sweden (SE)","19.11.2021 22:00 - 19.11.2021 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5289","n/e","6940","864","n/e","n/e","n/e","n/e","9539"
"Sweden (SE)","19.11.2021 23:00 - 20.11.2021 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4992","n/e","6941","841","n/e","n/e","n/e","n/e","9496"
