"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","19.11.2021 10:30 - 19.11.2021 11:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 11:00 - 19.11.2021 11:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 11:30 - 19.11.2021 12:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 12:00 - 19.11.2021 12:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 12:30 - 19.11.2021 13:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 13:00 - 19.11.2021 13:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 13:30 - 19.11.2021 14:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 14:00 - 19.11.2021 14:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 14:30 - 19.11.2021 15:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 15:00 - 19.11.2021 15:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 15:30 - 19.11.2021 16:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 16:00 - 19.11.2021 16:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 16:30 - 19.11.2021 17:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 17:00 - 19.11.2021 17:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 17:30 - 19.11.2021 18:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 18:00 - 19.11.2021 18:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 18:30 - 19.11.2021 19:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 19:00 - 19.11.2021 19:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 19:30 - 19.11.2021 20:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 20:00 - 19.11.2021 20:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 20:30 - 19.11.2021 21:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 21:00 - 19.11.2021 21:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 21:30 - 19.11.2021 22:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 22:00 - 19.11.2021 22:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 22:30 - 19.11.2021 23:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 23:00 - 19.11.2021 23:30 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
"United Kingdom (UK)","19.11.2021 23:30 - 20.11.2021 00:00 (CET)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","N/A","n/e","N/A","N/A"
